web-scraper-order,web-scraper-start-url,chiens_links,chiens_links-href,nom,prix,adresse,image_links-src
"1752455884-1","https://sn.coinafrique.com/categorie/chiens?page=3","Chiots Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-4491233","Chiots Bichon Maltais","150 000 CFA","Lac rose, Sénégal","https://images.coinafrique.com/thumb_4491233_uploaded_image1_1702048768.jpg"
"1752455887-2","https://sn.coinafrique.com/categorie/chiens?page=3","Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4497133","Bichon Maltais","150 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5383547_uploaded_image1_1750415126.jpg"
"1752455890-3","https://sn.coinafrique.com/categorie/chiens?page=3","Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4497142","Bichon Maltais","120 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5383547_uploaded_image1_1750415126.jpg"
"1752455894-4","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Caniche","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4499987","Chiot Caniche","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_4499987_uploaded_image1_1702579369.jpg"
"1752455898-5","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Boerbool","https://sn.coinafrique.com/annonce/chiens/chiot-boerbool-4513571","Chiot Boerbool","550 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4513571_uploaded_image1_1703524590.jpg"
"1752455902-6","https://sn.coinafrique.com/categorie/chiens?page=3","Chiens  Malinois charbonnés","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-charbonnes-4513573","Chiens  Malinois charbonnés","700 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4513573_uploaded_image1_1703524791.jpg"
"1752455907-7","https://sn.coinafrique.com/categorie/chiens?page=3","Chiotte Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiotte-berger-allemand-4513582","Chiotte Berger Allemand","230 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5321695_uploaded_image1_1746899509.jpg"
"1752455912-8","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4513587","Chiot Berger Allemand","700 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5321695_uploaded_image1_1746899509.jpg"
"1752455915-9","https://sn.coinafrique.com/categorie/chiens?page=3","Chiots Bergers Allemands","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-4530727","Chiots Bergers Allemands","125 000 CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_4530727_uploaded_image1_1704546741.jpg"
"1752455918-10","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4532063","Chiot Berger allemand","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5379393_uploaded_image1_1750190380.jpg"
