web-scraper-order,web-scraper-start-url,chiens_links,chiens_links-href,nom,prix,adresse,image_links-src
"1752456859-1","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055594","Mouton Ladoum","300 000 CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg"
"1752456862-2","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055616","Mouton ladoum","300 000 CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg"
"1752456864-3","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton  agnelle","https://sn.coinafrique.com/annonce/moutons/mouton-agnelle-4060011","Mouton  agnelle","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4060011_uploaded_image1_1674334569.jpg"
"1752456867-4","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton femelle Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4061067","Mouton femelle Ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg"
"1752456870-5","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4061084","Mouton ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg"
"1752456874-6","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-4067794","Moutons","130 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5358627_uploaded_image1_1748961442.jpg"
"1752456877-7","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-4069918","Moutons","120 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5358627_uploaded_image1_1748961442.jpg"
"1752456881-8","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-4095794","Moutons","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg"
"1752456885-9","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-4100015","Moutons","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5348484_uploaded_image1_1748376667.jpg"
"1752456890-10","https://sn.coinafrique.com/categorie/moutons?page=3","Agnelle Ladoum","https://sn.coinafrique.com/annonce/moutons/agnelle-ladoum-4124306","Agnelle Ladoum","125 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4141471_uploaded_image1_1679321283.jpg"
"1752456892-11","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton femelle Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4127293","Mouton femelle Ladoum","400 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4127293_uploaded_image1_1678381991.jpg"
"1752456898-12","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","https://sn.coinafrique.com/annonce/moutons/brebis-4141471","Brebis","110 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4175237_uploaded_image1_1681390037.jpg"
"1752456903-13","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4143070","Mouton ladoum","500 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5144166_uploaded_image1_1737393386.jpg"
"1752456906-14","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Ladoum Azawatt","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-azawatt-4150287","Mouton Ladoum Azawatt","400 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_4150287_uploaded_image1_1679880266.jpg"
"1752456909-15","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4150306","Mouton ladoum","500 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_4150306_uploaded_image1_1679880896.jpg"
"1752456911-16","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4152006","Mouton ladoum","600 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_4198188_uploaded_image1_1683021884.jpg"
"1752456918-17","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","https://sn.coinafrique.com/annonce/moutons/brebis-4155201","Brebis","95 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4175237_uploaded_image1_1681390037.jpg"
"1752456921-18","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Azawat","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-4160771","Mouton Azawat","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4160771_uploaded_image1_1680528476.jpg"
"1752456924-19","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-4169738","Mouton","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5355058_uploaded_image1_1748800702.jpg"
"1752456927-20","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","https://sn.coinafrique.com/annonce/moutons/brebis-4175237","Brebis","75 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4175237_uploaded_image1_1681390037.jpg"
